contact_id,response_date,agent_satisfaction,csat,issue_resolved
c53109,2020-06-21 08:02:09.000000,9,8,True
c52087,2020-06-21 01:15:08.000000,10,8,False
c52532,2020-06-21 18:33:11.000000,4,4,False
c53651,2020-06-21 11:35:20.000000,10,10,True
c52529,2020-06-21 06:37:53.000000,9,8,True
c53173,2020-06-21 07:51:27.000000,10,1,False
c53006,2020-06-21 09:28:13.000000,10,10,True
c52099,2020-06-21 05:38:29.000000,2,3,False
c52230,2020-06-20 20:02:53.000000,10,10,True
c53135,2020-06-21 09:45:02.000000,10,9,True
c53738,2020-06-21 10:37:14.000000,10,10,True
c53737,2020-06-22 11:03:24.000000,10,10,True
c52621,2020-06-21 00:04:01.000000,10,10,True
c52755,2020-06-21 10:53:30.000000,10,10,True
c52446,2020-06-20 22:51:54.000000,10,10,True
c53684,2020-06-22 07:39:42.000000,10,10,False
c52098,2020-06-20 18:10:06.000000,10,9,True
c53534,2020-06-21 11:40:22.000000,8,8,False
c53508,2020-06-21 10:11:20.000000,8,9,False
c53094,2020-06-21 05:45:03.000000,8,7,True
c52629,2020-06-21 07:39:36.000000,10,10,True
c53480,2020-06-21 16:32:56.000000,10,10,True
c52843,2020-06-21 07:46:06.000000,9,10,True
c53373,2020-06-21 09:06:15.000000,5,5,False
c53374,2020-06-21 07:16:55.000000,10,10,True
c52372,2020-06-21 06:24:54.000000,10,9,True
c52888,2020-06-21 01:25:09.000000,7,7,True
c52148,2020-06-20 19:04:57.000000,6,4,True
c53230,2020-06-21 15:47:27.000000,9,9,True
c53358,2020-06-22 10:16:24.000000,4,1,False
c53512,2020-06-21 15:52:33.000000,7,5,False
c53680,2020-06-22 09:24:26.000000,2,3,False
c52142,2020-06-20 20:19:22.000000,10,9,False
c53526,2020-06-21 07:04:39.000000,10,10,True
c52317,2020-06-21 06:23:36.000000,10,8,True
c53307,2020-06-21 07:40:23.000000,10,10,True
c52993,2020-06-21 11:21:24.000000,10,10,True
c53192,2020-06-21 13:43:51.000000,10,10,True
c53143,2020-06-21 09:02:19.000000,10,10,True
c52563,2020-06-21 06:13:40.000000,1,1,False
c53644,2020-06-21 09:55:26.000000,10,10,True
c52542,2020-06-22 07:11:23.000000,8,8,True
c53203,2020-06-21 04:23:27.000000,7,8,False
c52084,2020-06-20 23:24:54.000000,10,10,True
c52815,2020-06-21 18:07:14.000000,9,10,True
c53053,2020-06-21 09:18:09.000000,10,9,True
c53558,2020-06-21 17:23:51.000000,10,9,False
c53243,2020-06-22 05:49:22.000000,8,8,True
c52382,2020-06-21 15:47:43.000000,10,10,False
c52957,2020-06-22 21:48:55.000000,10,10,True
c52221,2020-06-21 07:02:25.000000,9,9,True
c52968,2020-06-21 12:28:53.000000,10,10,True
c52593,2020-06-21 06:21:08.000000,10,10,True
c52573,2020-06-20 23:32:11.000000,10,10,True
c53201,2020-06-21 05:35:56.000000,10,10,True
c53058,2020-06-21 17:58:31.000000,9,8,True
c52958,2020-06-21 02:38:41.000000,7,6,True
c52882,2020-06-21 05:13:14.000000,10,10,True
c53305,2020-06-21 04:55:10.000000,10,10,True
c53229,2020-06-21 20:34:29.000000,10,10,True
c52596,2020-06-21 05:55:51.000000,9,5,False
c52901,2020-06-21 08:19:05.000000,8,5,False
c53029,2020-06-21 07:51:31.000000,10,10,True
c53533,2020-06-21 06:48:51.000000,10,10,False
c52524,2020-06-21 01:03:09.000000,8,7,True
c52115,2020-06-20 19:46:22.000000,10,10,True
c52954,2020-06-21 16:08:16.000000,10,10,True
c52253,2020-06-20 20:16:22.000000,10,10,True
c52289,2020-06-21 06:25:23.000000,9,10,True
c52723,2020-06-23 08:10:22.000000,1,2,False
c53679,2020-06-22 19:39:04.000000,10,8,True
c52346,2020-06-21 12:12:12.000000,10,10,True
c53248,2020-06-21 07:19:01.000000,10,10,True
c52113,2020-06-20 21:27:27.000000,10,10,True
c52732,2020-06-21 01:05:50.000000,10,8,True
c52369,2020-06-21 21:47:05.000000,10,10,False
c52756,2020-07-01 15:19:41.000000,10,9,True
c53122,2020-06-21 08:01:50.000000,10,10,True
